DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERME MUNICIPAL,HA ARBRADES,HA NO ARBRADES,HA NO FORESTALS,HA FORESTALS
01/01/2021,21,Maresme,082613,Santa Susanna,0,0,0,0
03/01/2021,16,Conca de Barberà,431016,Passanant i Belltall,45,0,0,45
03/01/2021,25,Pallars Jussà,252347,Tremp,0,157,0,157
04/01/2021,22,Montsià,430141,Amposta,0,5,0,5
05/01/2021,26,Pallars Sobirà,252094,Sort,0,12,0,12
06/01/2021,14,Berguedà,080229,Berga,0,0,0,0
07/01/2021,03,Alt Penedès,082227,Sant Llorenç d'Hortons,0,3,2,3
14/01/2021,02,Alt Empordà,171387,Portbou,0,1,0,1
15/01/2021,11,Baix Llobregat,080734,Cornellà de Llobregat,0,0,0,0
16/01/2021,16,Conca de Barberà,430542,"Espluga de Francolí, l'",0,20,0,20
16/01/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,33,0,33
17/01/2021,03,Alt Penedès,082877,Torrelavit,0,0,0,0
23/01/2021,40,Vallès Occidental,081672,Polinyà,0,1,0,1
25/01/2021,02,Alt Empordà,171387,Portbou,0,1,0,1
26/01/2021,02,Alt Empordà,170545,Colera,0,0,0,0
27/01/2021,03,Alt Penedès,082401,Sant Sadurní d'Anoia,0,15,0,15
27/01/2021,11,Baix Llobregat,080765,Esparreguera,0,1,0,1
28/01/2021,24,Osona,082830,Tona,16,0,0,16
29/01/2021,29,Priorat,430580,"Figuera, la",0,2,0,2
29/01/2021,33,Segrià,252287,Torrefarrera,0,50,0,50
31/01/2021,11,Baix Llobregat,080689,Cervelló,0,0,0,0
01/02/2021,36,Tarragonès,431482,Tarragona,0,2,0,2
01/02/2021,36,Tarragonès,430477,Constantí,0,3,5,3
01/02/2021,06,Anoia,080713,Copons,0,1,0,1
01/02/2021,22,Montsià,430141,Amposta,0,200,0,200
01/02/2021,09,Baix Ebre,431554,Tortosa,0,85,0,85
01/02/2021,01,Alt Camp,431613,Valls,34,51,0,85
01/02/2021,36,Tarragonès,430477,Constantí,0,267,128,267
01/02/2021,01,Alt Camp,431191,Puigpelat,20,50,65,70
01/02/2021,36,Tarragonès,430477,Constantí,0,232,229,232
01/02/2021,34,Selva,170950,Lloret de Mar,2,0,0,2
02/02/2021,22,Montsià,430141,Amposta,2,0,0,2
03/02/2021,03,Alt Penedès,083054,Vilafranca del Penedès,0,4,22,4
03/02/2021,34,Selva,170237,Blanes,1,0,0,1
03/02/2021,40,Vallès Occidental,081846,Rubí,0,40,0,40
03/02/2021,14,Berguedà,081751,Puig-reig,0,7,5,7
05/02/2021,24,Osona,082476,Santa Eulàlia de Riuprimer,22,20,0,42
06/02/2021,32,Segarra,251327,Massoteres,0,12,0,12
12/02/2021,06,Anoia,081629,"Hostalets de Pierola, els",0,1,0,1
17/02/2021,06,Anoia,080484,Carme,6,0,0,6
17/02/2021,41,Vallès Oriental,080333,Caldes de Montbui,15,0,0,15
18/02/2021,26,Pallars Sobirà,252094,Sort,0,20,30,20
18/02/2021,42,Moianès,082589,Santa Maria d'Oló,30,20,0,50
19/02/2021,20,Gironès,171557,Salt,0,1,0,1
19/02/2021,31,Ripollès,171450,Ribes de Freser,3,0,0,3
20/02/2021,15,Cerdanya,251790,Prullans,30,250,0,280
20/02/2021,20,Gironès,171557,Salt,0,3,0,3
20/02/2021,32,Segarra,250729,Cervera,0,150,0,150
20/02/2021,35,Solsonès,251517,Olius,92,0,0,92
20/02/2021,32,Segarra,252234,Torà,0,850,0,850
25/02/2021,18,Garrigues,251018,"Granadella, la",0,0,0,0
27/02/2021,26,Pallars Sobirà,252081,Soriguera,0,20,0,20
28/02/2021,40,Vallès Occidental,081252,Montcada i Reixac,0,2,0,2
28/02/2021,21,Maresme,081108,Malgrat de Mar,0,0,0,0
05/03/2021,17,Garraf,082704,Sitges,51,0,0,51
05/03/2021,06,Anoia,081430,Òdena,9,0,0,9
07/03/2021,38,Urgell,259025,Sant Martí de Riucorb,0,11,0,11
11/03/2021,37,Terra Alta,430483,Corbera d'Ebre,0,25,0,25
12/03/2021,22,Montsià,431362,Sant Carles de la Ràpita,0,0,0,0
14/03/2021,06,Anoia,081653,"Pobla de Claramunt, la",2,0,0,2
14/03/2021,40,Vallès Occidental,080517,Castellar del Vallès,0,10,0,10
14/03/2021,07,Bages,080983,Sant Salvador de Guardiola,40,31,0,71
14/03/2021,03,Alt Penedès,082270,Sant Martí Sarroca,0,0,0,0
18/03/2021,16,Conca de Barberà,430290,Blancafort,15,0,0,15
18/03/2021,38,Urgell,250463,Belianes,0,80,0,80
18/03/2021,14,Berguedà,081666,"Pobla de Lillet, la",20,0,0,20
20/03/2021,38,Urgell,251095,Guimerà,0,7,0,7
20/03/2021,25,Pallars Jussà,252347,Tremp,0,13,0,13
21/03/2021,33,Segrià,252108,Soses,0,20,0,20
21/03/2021,38,Urgell,250463,Belianes,0,3,0,3
21/03/2021,16,Conca de Barberà,430542,"Espluga de Francolí, l'",4150,0,114,4150
21/03/2021,05,Alta Ribagorça,251734,"Pont de Suert, el",0,16,0,16
22/03/2021,36,Tarragonès,430477,Constantí,0,81,267,81
22/03/2021,12,Baix Penedès,430022,Albinyana,2,0,0,2
22/03/2021,19,Garrotxa,171143,Olot,0,40,0,40
23/03/2021,01,Alt Camp,431606,Vallmoll,0,150,0,150
24/03/2021,20,Gironès,170675,Flaçà,5,0,0,5
25/03/2021,30,Ribera d'Ebre,430995,"Palma d'Ebre, la",55,0,0,55
25/03/2021,34,Selva,171485,Riudarenes,6,0,0,6
27/03/2021,35,Solsonès,251636,"Coma i la Pedra, la",0,4,0,4
27/03/2021,41,Vallès Oriental,081810,"Roca del Vallès, la",0,1,0,1
28/03/2021,40,Vallès Occidental,080879,Gallifa,0,1,0,1
28/03/2021,05,Alta Ribagorça,251734,"Pont de Suert, el",0,13,0,13
28/03/2021,12,Baix Penedès,430022,Albinyana,2,0,0,2
29/03/2021,18,Garrigues,251018,"Granadella, la",0,31,0,31
29/03/2021,30,Ribera d'Ebre,430846,Miravet,176,0,44,176
29/03/2021,03,Alt Penedès,082325,Sant Pere de Riudebitlles,0,5,0,5
29/03/2021,20,Gironès,170890,Llagostera,1,0,0,1
29/03/2021,08,Baix Camp,430075,"Aleixar, l'",20,0,0,20
30/03/2021,32,Segarra,259078,Torrefeta i Florejacs,0,5,0,5
30/03/2021,25,Pallars Jussà,251615,Conca de Dalt,154,0,40,154
31/03/2021,25,Pallars Jussà,251288,Llimiana,15,0,0,15
01/04/2021,21,Maresme,080095,Argentona,0,3,0,3
01/04/2021,23,Noguera,251569,Os de Balaguer,0,33,0,33
01/04/2021,32,Segarra,250729,Cervera,0,10,0,10
01/04/2021,11,Baix Llobregat,082042,Sant Climent de Llobregat,2,0,0,2
01/04/2021,11,Baix Llobregat,082634,Sant Vicenç dels Horts,0,0,0,0
01/04/2021,07,Bages,080983,Sant Salvador de Guardiola,46,13,0,59
01/04/2021,11,Baix Llobregat,082444,Santa Coloma de Cervelló,0,0,0,0
03/04/2021,18,Garrigues,251180,Juncosa,0,2,0,2
03/04/2021,05,Alta Ribagorça,251734,"Pont de Suert, el",0,0,0,0
03/04/2021,13,Barcelonès,081017,"Hospitalet de Llobregat, l'",0,19,0,19
03/04/2021,42,Moianès,080706,Collsuspina,1,0,0,1
03/04/2021,20,Gironès,170904,Llambilles,1,0,0,1
04/04/2021,09,Baix Ebre,431554,Tortosa,0,10,0,10
04/04/2021,40,Vallès Occidental,082798,Terrassa,0,0,0,0
04/04/2021,11,Baix Llobregat,082634,Sant Vicenç dels Horts,0,3,0,3
05/04/2021,38,Urgell,251543,"Omells de na Gaia, els",2,0,0,2
05/04/2021,09,Baix Ebre,431554,Tortosa,5,0,0,5
05/04/2021,09,Baix Ebre,431554,Tortosa,0,6,0,6
05/04/2021,09,Baix Ebre,430069,Aldover,0,20,0,20
06/04/2021,26,Pallars Sobirà,250241,Alt Àneu,0,13,0,13
06/04/2021,10,Baix Empordà,170340,Calonge i Sant Antoni,0,0,0,0
06/04/2021,12,Baix Penedès,430379,Calafell,0,8,0,8
07/04/2021,18,Garrigues,250061,"Albagés, l'",0,4,0,4
07/04/2021,18,Garrigues,250061,"Albagés, l'",0,6,0,6
07/04/2021,18,Garrigues,250061,"Albagés, l'",0,1,0,1
07/04/2021,15,Cerdanya,251790,Prullans,420,0,0,420
08/04/2021,21,Maresme,080752,Dosrius,0,1,0,1
08/04/2021,33,Segrià,251207,Lleida,24,145,0,169
09/04/2021,11,Baix Llobregat,080898,Gavà,0,3,0,3
09/04/2021,02,Alt Empordà,171432,Rabós,0,20,0,20
10/04/2021,04,Alt Urgell,250306,"Pont de Bar, el",0,0,0,0
13/04/2021,20,Gironès,170890,Llagostera,0,0,0,0
13/04/2021,12,Baix Penedès,430379,Calafell,10,0,0,10
15/04/2021,20,Gironès,170890,Llagostera,0,0,0,0
15/04/2021,10,Baix Empordà,170486,Castell-Platja d'Aro,10,0,0,10
16/04/2021,20,Gironès,170890,Llagostera,0,1,0,1
16/04/2021,02,Alt Empordà,170932,Llers,0,2,0,2
17/04/2021,20,Gironès,170025,Aiguaviva,0,0,0,0
18/04/2021,09,Baix Ebre,431021,Paüls,0,1,0,1
18/04/2021,06,Anoia,081430,Òdena,0,0,0,0
18/04/2021,08,Baix Camp,430923,Mont-roig del Camp,0,9,0,9
23/04/2021,09,Baix Ebre,431554,Tortosa,0,33,0,33
26/04/2021,13,Barcelonès,080193,Barcelona,0,250,0,250
02/05/2021,33,Segrià,250138,Alfarràs,0,117,0,117
05/05/2021,11,Baix Llobregat,081141,Martorell,0,4,0,4
07/05/2021,23,Noguera,250404,Balaguer,0,0,0,0
08/05/2021,33,Segrià,251253,Llardecans,0,160,40,160
08/05/2021,23,Noguera,250404,Balaguer,0,70,0,70
08/05/2021,41,Vallès Oriental,081350,Montmeló,0,1,0,1
09/05/2021,33,Segrià,251826,Puigverd de Lleida,10,10,0,20
09/05/2021,13,Barcelonès,080193,Barcelona,0,15,0,15
10/05/2021,03,Alt Penedès,082515,Santa Margarida i els Monjos,0,1,0,1
10/05/2021,11,Baix Llobregat,081477,Olesa de Montserrat,250,0,0,250
11/05/2021,17,Garraf,082310,Sant Pere de Ribes,12,0,0,12
11/05/2021,13,Barcelonès,082457,Santa Coloma de Gramenet,0,1,0,1
11/05/2021,06,Anoia,081192,Masquefa,12,0,0,12
11/05/2021,33,Segrià,252000,Sarroca de Lleida,0,36,0,36
11/05/2021,03,Alt Penedès,082732,Subirats,65,0,0,65
12/05/2021,40,Vallès Occidental,081846,Rubí,1,1,0,1
12/05/2021,11,Baix Llobregat,081477,Olesa de Montserrat,0,3,0,3
13/05/2021,11,Baix Llobregat,080898,Gavà,57,0,0,57
13/05/2021,11,Baix Llobregat,082080,Sant Esteve Sesrovires,31,0,0,31
14/05/2021,07,Bages,081136,Manresa,0,0,0,0
14/05/2021,41,Vallès Oriental,080235,Bigues i Riells,4,0,0,4
14/05/2021,07,Bages,082747,Súria,2,0,0,2
15/05/2021,40,Vallès Occidental,082917,Vacarisses,0,3,0,3
15/05/2021,07,Bages,081136,Manresa,1,0,0,1
16/05/2021,02,Alt Empordà,170669,Figueres,0,0,0,0
16/05/2021,41,Vallès Oriental,080961,Granollers,0,8,0,8
16/05/2021,41,Vallès Oriental,080885,"Garriga, la",0,1,0,1
